"","webid","name","hlyRange","dlyRange","mlyRange"
"28",1225,"ADAMS LAKE SKWAAM BAY","N/A","1972-06-01/1975-08-31","1972-01-01/1975-12-01"
"29",374,"ADDENBROKE ISLAND","1994-02-01/2001-12-13","1978-01-01/2012-05-13","1978-01-01/2007-02-01"
"30",983,"ADRA","N/A","1928-09-01/1953-08-31","1928-01-01/1953-12-01"
"31",707,"AGASSIZ CDA","N/A","1889-10-01/2012-05-16","1889-01-01/2007-02-01"
"32",706,"AGASSIZ CS","1994-02-01/2012-05-16","1988-11-01/2012-05-16","1988-01-01/2006-11-01"
"33",708,"AGASSIZ MOUNTAIN INSTITUTE","N/A","1986-04-01/1995-05-31","1986-01-01/1995-05-01"
"34",452,"AIYANSH","N/A","1924-01-01/1971-09-30","1924-01-01/1971-12-01"
"35",453,"AIYANSH 2SE","N/A","1974-07-01/1985-08-31","1974-01-01/1985-12-01"
"36",221,"ALBERNI BEAVER CREEK","N/A","1894-05-01/1959-02-28","1894-01-01/1959-12-01"
"37",222,"ALBERNI CITY RESERVOIR","N/A","1962-03-01/1963-12-31","1962-01-01/1963-12-01"
"38",223,"ALBERNI LUPSI CUPSI","N/A","1948-11-01/1974-12-31","1948-01-01/1974-12-01"
"39",224,"ALBERNI MCCOY LAKE","N/A","1958-10-01/1973-08-31","1958-01-01/1973-12-01"
"40",225,"ALBERNI ROBERTSON CREEK","N/A","1961-02-01/2012-05-14","1961-01-01/2007-02-01"
"41",15,"ALBERT HEAD","N/A","1971-06-01/1995-04-30","1971-01-01/1995-04-01"
"42",1351,"ALBREDA","N/A","1973-06-01/1977-03-31","1973-01-01/1977-12-01"
"43",709,"ALDERGROVE","N/A","1953-04-01/1980-06-30","1953-01-01/1980-12-01"
"44",710,"ALDERGROVE 2","N/A","1980-06-01/1989-06-30","1980-01-01/1989-12-01"
"45",711,"ALDERGROVE 48 AVENUE","N/A","1987-03-01/1991-11-30","1987-01-01/1991-11-01"
"46",699,"ALDERGROVE CENTRE","N/A","1986-09-01/1989-03-31","1986-01-01/1989-12-01"
"47",137,"ALERT BAY","1954-01-01/1994-02-21","1913-12-01/2006-12-05","1913-01-01/1994-12-01"
"48",499,"ALEXIS CREEK","N/A","1954-07-01/1956-07-31","1954-01-01/1956-12-01"
"49",501,"ALEXIS CREEK","N/A","1919-10-01/1963-09-30","1919-01-01/1963-12-01"
"50",500,"ALEXIS CREEK","N/A","1973-08-01/1995-05-31","1973-01-01/1995-05-01"
"51",502,"ALEXIS CREEK TAUTRI CRK","N/A","1961-02-01/1983-09-30","1961-01-01/1983-12-01"
"52",565,"ALEZA LAKE","N/A","1952-02-01/1980-07-31","1952-01-01/1980-12-01"
"53",375,"ALICE ARM","N/A","1948-01-01/1964-09-30","1948-01-01/1964-12-01"
"54",376,"ALICE ARM","N/A","1973-06-01/1978-09-30","1973-01-01/1978-12-01"
"55",566,"ALKALI LAKE","N/A","1910-09-01/1922-03-31","1910-01-01/1922-12-01"
"56",938,"ALLISON PASS","N/A","1958-09-01/1972-10-31","1958-01-01/1972-12-01"
"57",939,"ALLISON PASS DOH","N/A","1974-11-01/1989-05-31","1974-01-01/1989-12-01"
"58",712,"ALOUETTE LAKE","N/A","1924-01-01/1982-12-31","1924-01-01/1982-12-01"
"59",713,"ALOUETTE POWER HOUSE","N/A","1935-07-01/1949-03-31","1935-01-01/1949-12-01"
"60",291,"ALTA LAKE","1953-01-01/1976-04-22","1950-10-01/1976-03-31","1950-01-01/1976-12-01"
"61",293,"ALTA LAKE 2","N/A","1931-11-01/1969-09-30","1931-01-01/1969-12-01"
"62",292,"ALTA LAKE NORTHAIR MINE","N/A","1975-12-01/1987-07-31","1975-01-01/1987-12-01"
"63",226,"AMPHITRITE POINT","N/A","1958-01-01/1980-04-30","1958-01-01/1980-12-01"
"64",227,"AMPHITRITE POINT","1980-05-01/2001-10-09","1980-05-01/2010-03-01","1980-01-01/1999-08-01"
"65",504,"ANAHIM LAKE","N/A","1975-07-01/1994-03-31","1975-01-01/1994-12-01"
"66",503,"ANAHIM LAKE","N/A","1954-09-01/1967-06-30","1954-01-01/1967-12-01"
"67",505,"ANAHIM LAKE 5 MILE RANCH","N/A","1980-09-01/1988-07-31","1980-01-01/1988-12-01"
"68",714,"ANNACIS ISLAND","N/A","1954-10-01/1962-03-31","1954-01-01/1962-12-01"
"69",294,"ANVIL ISLAND","N/A","1956-10-01/1963-06-30","1956-01-01/1963-12-01"
"70",377,"ANYOX","N/A","1916-05-01/1935-06-30","1916-01-01/1935-12-01"
"71",984,"APEX MTN LODGE","N/A","1965-06-01/1971-09-30","1965-01-01/1971-12-01"
"72",982,"ARAWANA","N/A","1970-12-01/1976-06-30","1970-01-01/1976-12-01"
"73",1099,"ARGENTA","N/A","1957-11-01/1974-06-30","1957-01-01/1974-12-01"
"74",1226,"ARMSTRONG","N/A","1912-01-01/1992-09-30","1912-01-01/1992-12-01"
"75",985,"ARMSTRONG GRANDVIEW","N/A","1959-03-01/1960-06-30","1959-01-01/1960-12-01"
"76",1227,"ARMSTRONG HULLCAR","N/A","1971-07-01/1998-12-31","1971-01-01/1998-12-01"
"77",1228,"ARMSTRONG NORTH","N/A","1972-10-01/1993-12-31","1972-01-01/1993-12-01"
"78",6943,"ARMSTRONG OTTER LAKE","N/A","1991-04-01/1992-09-30","1991-01-01/1992-12-01"
"79",1391,"ARRAS","N/A","1970-04-01/1988-09-30","1970-01-01/1988-12-01"
"80",228,"ASH RIVER","N/A","1957-07-01/1959-11-30","1958-01-01/1959-12-01"
"81",229,"ASH RIVER GENERATING STN","N/A","1959-10-01/1969-06-30","1959-01-01/1969-12-01"
"82",1229,"ASHCROFT","N/A","1912-09-01/1970-01-31","1912-01-01/1969-12-01"
"83",1230,"ASHCROFT","N/A","1973-05-01/1989-11-30","1973-01-01/1989-12-01"
"84",48708,"ASHCROFT","2010-06-16/2012-05-16","2010-06-16/2012-05-16","N/A"
"85",1232,"ASHCROFT M","N/A","1944-11-01/1972-08-31","1944-01-01/1972-12-01"
"86",1231,"ASHCROFT NORTH","N/A","1980-08-01/1986-09-30","1980-01-01/1986-12-01"
"87",1233,"ASHCROFT VENABLES VLY","N/A","1984-06-01/1987-01-31","1984-01-01/1987-12-01"
"88",1485,"ATLIN","N/A","1899-03-01/2012-05-16","1899-01-01/2007-02-01"
"89",506,"ATNARKO PARKS CAMP","N/A","1979-08-01/1981-08-31","1979-01-01/1981-12-01"
"90",1234,"AVOLA","N/A","1974-05-01/1982-02-28","1974-01-01/1982-12-01"
"91",454,"BABINE LAKE FISHERIES","N/A","1912-09-01/1936-07-31","1912-01-01/1936-12-01"
"92",455,"BABINE LAKE HALIFAX BAY","N/A","1972-05-01/1973-10-31","1972-01-01/1973-12-01"
"93",456,"BABINE LAKE PINKUT CREEK","N/A","1968-12-01/2008-08-31","1969-01-01/2007-02-01"
"94",1392,"BAKER MINE","N/A","1980-11-01/1983-11-30","1980-01-01/1983-12-01"
"95",1393,"BALDONNEL","N/A","1927-01-01/1993-10-31","1927-01-01/1993-12-01"
"96",567,"BALDY HUGHES","N/A","1980-08-01/1984-07-31","1980-01-01/1984-12-01"
"97",138,"BALLENAS ISLAND","1994-02-01/2012-05-16","1966-12-01/2012-05-16","1967-01-01/2007-02-01"
"98",16,"BAMBERTON OCEAN CEMENT","N/A","1961-02-01/1980-11-30","1961-01-01/1980-12-01"
"99",230,"BAMFIELD","N/A","1903-02-01/1956-09-30","1903-01-01/1956-12-01"
"100",231,"BAMFIELD EAST","N/A","1959-08-01/2001-09-30","1959-01-01/2001-09-01"
"101",232,"BAMFIELD WEST","N/A","1955-10-01/1959-07-31","1955-01-01/1959-12-01"
"102",986,"BANKEIR","N/A","1954-08-01/1959-07-31","1954-01-01/1959-12-01"
"103",987,"BANKIER CHAIN LAKE","N/A","1974-05-01/1991-08-31","1974-01-01/1991-11-01"
"104",568,"BARKERVILLE","N/A","1888-02-01/2008-08-02","1888-01-01/2007-02-01"
"105",1235,"BARRIERE","N/A","1955-11-01/1996-10-31","1955-01-01/1996-10-01"
"106",1236,"BARRIERE NORTH","N/A","1970-09-01/1984-09-30","1970-01-01/1984-12-01"
"107",1167,"BAYNES LAKE KOOTENAY RIVER","N/A","1986-02-01/2011-11-29","1986-01-01/2007-02-01"
"108",17,"BEAR CREEK","N/A","1910-11-01/1971-08-31","1910-01-01/1971-12-01"
"109",1486,"BEARSKIN LAKE","N/A","1983-11-01/1990-01-31","1983-01-01/1989-12-01"
"110",1394,"BEATTON RIVER","N/A","1977-04-01/1979-08-31","1977-01-01/1979-12-01"
"111",1395,"BEATTON RIVER A","1953-01-01/1967-07-11","1944-12-01/1967-07-31","1944-01-01/1967-12-01"
"112",18,"BEAVER LAKE","N/A","1894-12-01/1952-06-30","1894-01-01/1952-12-01"
"113",1077,"BEAVERDELL","N/A","1925-09-01/2000-10-31","1925-01-01/2000-10-01"
"114",1078,"BEAVERDELL NORTH","N/A","1975-05-01/2006-09-30","1975-01-01/2006-09-01"
"115",19,"BECHER BAY","N/A","1956-12-01/1966-04-30","1956-01-01/1966-12-01"
"116",378,"BELLA BELLA","N/A","1933-04-01/1977-10-31","1933-01-01/1977-12-01"
"117",44766,"BELLA BELLA A","2007-01-31/2011-08-25","2006-04-01/2011-08-25","2006-04-01/2007-02-01"
"118",379,"BELLA BELLA SHEARWATER","N/A","1960-04-01/1964-06-30","1960-01-01/1964-12-01"
"119",380,"BELLA COOLA","N/A","1895-05-01/2002-10-31","1895-01-01/2002-10-01"
"120",381,"BELLA COOLA A","1983-02-01/2012-05-16","1983-02-01/2012-05-07","1983-01-01/2007-02-01"
"121",382,"BELLA COOLA BC HYDRO","N/A","1961-08-01/1985-11-30","1961-01-01/1985-12-01"
"122",1487,"BENNETT","N/A","1972-09-01/1974-07-31","1974-01-01/1974-12-01"
"123",233,"BENSON LAKE","N/A","1959-06-01/1972-12-31","1959-01-01/1972-12-01"
"124",507,"BIG CREEK","N/A","1893-01-01/1998-11-30","1893-01-01/1998-11-01"
"125",10811,"BIG CREEK (AUT)","1994-10-03/2003-03-25","1995-05-24/2011-09-28","N/A"
"126",457,"BIG OLIVER CREEK","N/A","1973-06-01/1975-05-31","1973-01-01/1975-12-01"
"127",1079,"BIG WHITE","N/A","1981-02-01/1999-04-30","1981-01-01/1999-04-01"
"128",1080,"BIG WHITE MTN LODGE","N/A","1965-03-01/1968-06-30","1965-01-01/1968-12-01"
"129",1100,"BILLINGS","N/A","1984-11-01/2012-04-24","1984-01-01/2007-02-01"
"130",1101,"BIRCHBANK","N/A","1924-01-01/1945-05-31","1924-01-01/1945-12-01"
"131",936,"BIRKENHEAD LAKE","N/A","1983-07-01/1985-07-31","1983-01-01/1985-12-01"
"132",139,"BLACK CREEK","N/A","1964-04-01/2008-12-31","1964-01-01/2005-04-01"
"133",45507,"BLACK CREEK SE","N/A","2006-08-01/2011-10-31","2006-08-01/2007-02-01"
"134",45787,"BLACKCOMB BASE SLIDING CENTER","2007-04-30/2012-05-13","2007-04-30/2012-05-13","N/A"
"135",47807,"BLACKCOMB BASE SLIDING CENTRE BOTTOM","2008-12-16/2010-03-10","2008-12-16/2010-03-10","N/A"
"136",700,"BLACKCOMB MOUNTAIN 1540","N/A","1983-12-01/1994-05-31","1983-01-01/1994-12-01"
"137",715,"BLACKCOMB MOUNTAIN 1860","N/A","1980-11-01/1994-05-31","1981-01-01/1990-12-01"
"138",498,"BLACKDOME MOUNTAIN","N/A","1986-08-01/1991-10-31","1986-01-01/1991-11-01"
"139",1396,"BLACKWATER CREEK","N/A","1989-10-01/1997-08-31","1989-01-01/1997-08-01"
"140",988,"BLAKEBURN","N/A","1973-10-01/1973-11-30","1973-01-01/1973-12-01"
"141",140,"BLIND CHANNEL","N/A","1956-05-01/1993-12-31","1956-01-01/1993-12-01"
"142",1237,"BLUE RIVER A","1969-12-01/2012-05-16","1969-12-01/2012-05-16","1969-01-01/2007-02-01"
"143",8214,"BLUE RIVER CS","1993-10-31/2012-05-16","1992-12-02/2012-05-16","1997-05-01/2006-10-01"
"144",1238,"BLUE RIVER NORTH","N/A","1929-01-01/1985-09-30","1929-01-01/1985-12-01"
"145",383,"BOAT BLUFF","1994-02-01/2001-12-13","1974-06-01/2012-05-16","1974-01-01/2007-02-01"
"146",1483,"BOB QUINN","N/A","1974-09-01/1974-10-31","1974-01-01/1974-12-01"
"147",1484,"BOB QUINN AGS","N/A","1977-12-01/1994-04-30","1977-01-01/1994-12-01"
"148",6947,"BOB QUINN LAKE 2","N/A","1991-09-01/1991-09-30","1991-01-01/1991-12-01"
"149",1350,"BOBBIE BURNS","N/A","1981-02-01/2001-12-31","1981-01-01/2000-12-01"
"150",384,"BONILLA ISLAND","1994-02-01/2001-12-13","1960-04-01/2012-05-15","1960-01-01/2007-02-01"
"151",8265,"BONILLA ISLAND (AUT)","1994-02-01/2012-05-16","1994-12-30/2012-05-16","2002-10-01/2007-02-01"
"152",1102,"BONNINGTON FALLS","N/A","1924-01-01/1939-11-30","1924-01-01/1939-12-01"
"153",569,"BOSS MOUNTAIN","N/A","1967-01-01/1984-01-31","1967-01-01/1984-12-01"
"154",941,"BOSTON BAR","N/A","1974-10-01/1989-05-31","1974-01-01/1989-12-01"
"155",937,"BOSTON BAR","N/A","1968-04-01/1968-08-31","1968-01-01/1968-12-01"
"156",940,"BOSTON BAR ALPINE","N/A","1985-06-01/1985-08-31","1985-01-01/1985-12-01"
"157",1103,"BOSWELL","N/A","1911-03-01/1940-05-31","1911-01-01/1940-12-01"
"158",1390,"BOUNDARY LAKE","N/A","1982-10-01/1987-05-31","1982-01-01/1987-12-01"
"159",297,"BOWEN ISL ARBUTUS BAY","N/A","1961-01-01/1998-09-30","1961-01-01/1998-09-01"
"160",296,"BOWEN ISLAND","N/A","1959-07-01/1965-12-31","1959-01-01/1965-12-01"
"161",295,"BOWEN ISLAND BOWEN BAY","N/A","1966-03-01/2012-05-12","1966-01-01/2007-02-01"
"162",298,"BOWEN ISLAND CATES BAY","N/A","1987-04-01/2000-05-31","1987-01-01/2000-05-01"
"163",6815,"BOWEN ISLAND JOSEPHINE RIDGE","N/A","1992-05-01/1996-02-29","1992-01-01/1996-02-01"
"164",6814,"BOWEN ISLAND KILLARNEY LAKE","N/A","1992-05-01/1996-06-30","1992-01-01/1996-06-01"
"165",290,"BOWEN ISLAND MILLERS LDG","N/A","1972-04-01/2001-12-31","1972-01-01/2001-12-01"
"166",6816,"BOWEN ISLAND SUNSET PARK","N/A","1992-05-01/2008-04-30","1992-01-01/2007-02-01"
"167",564,"BOWRON LAKE","N/A","1974-04-01/1990-08-31","1974-01-01/1990-12-01"
"168",141,"BOWSER","N/A","1957-03-01/1958-08-31","1957-01-01/1958-12-01"
"169",508,"BRALORNE","N/A","1924-08-01/1963-06-30","1924-01-01/1963-12-01"
"170",20,"BRENTWOOD BAY 2","N/A","1987-11-01/1997-05-31","1987-01-01/1997-05-01"
"171",21,"BRENTWOOD CLARKE ROAD","N/A","1972-05-01/1980-03-31","1972-01-01/1980-12-01"
"172",22,"BRENTWOOD W SAANICH RD","N/A","1960-08-01/1970-06-30","1960-01-01/1970-12-01"
"173",1081,"BRIDESVILLE","N/A","1957-07-01/1994-10-31","1957-01-01/1994-12-01"
"174",1239,"BRIDGE LAKE","N/A","1975-09-01/1995-06-30","1975-01-01/1995-06-01"
"175",1240,"BRIDGE LAKE 2","N/A","1980-08-01/2010-10-13","1980-01-01/2007-02-01"
"176",571,"BRIDGE RIVER","N/A","1935-07-01/1953-02-28","1935-01-01/1953-12-01"
"177",570,"BRIDGE RIVER","N/A","1924-01-01/1929-07-31","1924-01-01/1929-12-01"
"178",1352,"BRISCO","N/A","1924-01-01/2004-03-31","1924-01-01/2004-03-01"
"179",299,"BRITANNIA BEACH FURRY CR","N/A","1913-12-01/2000-04-30","1913-01-01/2000-04-01"
"180",1488,"BRONSON CREEK","N/A","1989-05-01/1999-09-30","1989-01-01/1999-09-01"
"181",989,"BROOKMERE","N/A","1986-07-01/1994-04-30","1986-01-01/1994-12-01"
"182",458,"BRUCEJACK LAKE","N/A","1988-07-01/1990-08-31","1988-01-01/1990-12-01"
"183",300,"BUCCANEER BAY","N/A","1927-08-01/1948-11-30","1927-01-01/1948-12-01"
"184",1450,"BUCKINGHORSE RIVER","N/A","1973-08-01/1977-10-31","1973-01-01/1975-12-01"
"185",1243,"BUFFALO LAKE","N/A","1962-05-01/2012-05-16","1962-01-01/2007-02-01"
"186",1353,"BUGABOO CREEK LODGE","N/A","1972-10-01/2006-05-31","1972-01-01/2006-05-01"
"187",234,"BULL HARBOUR","1953-01-01/1988-12-31","1921-07-01/1988-12-31","1921-01-01/1988-12-01"
"188",1397,"BULLMOOSE","N/A","1982-11-01/2003-03-31","1983-01-01/2003-03-01"
"189",720,"BUNTZEN BAY","N/A","1971-11-01/2007-02-28","1971-01-01/2007-02-01"
"190",721,"BUNTZEN LAKE","N/A","1924-01-01/1983-05-31","1924-01-01/1983-12-01"
"191",722,"BURNABY BC INST TECHNOL","N/A","1966-04-01/1968-10-31","1966-01-01/1968-12-01"
"192",723,"BURNABY BRANTFORD","N/A","1959-12-01/1970-03-31","1960-01-01/1970-12-01"
"193",724,"BURNABY CAPITOL HILL","N/A","1960-01-01/2001-12-31","1960-01-01/2001-12-01"
"194",718,"BURNABY CARIBOO DAM","N/A","1979-05-01/1987-12-31","1979-01-01/1987-12-01"
"195",725,"BURNABY CURTIS","N/A","1968-07-01/1973-05-31","1968-01-01/1973-12-01"
"196",719,"BURNABY EAST","N/A","1978-05-01/1980-08-31","1978-01-01/1980-12-01"
"197",726,"BURNABY EAST","N/A","1955-07-01/1958-04-30","1955-01-01/1958-12-01"
"198",727,"BURNABY EDMONDS","N/A","1959-12-01/1962-12-31","1960-01-01/1962-12-01"
"199",728,"BURNABY LAKE","N/A","1960-01-01/1963-03-31","1960-01-01/1963-12-01"
"200",729,"BURNABY LAKE WEST","N/A","1964-01-01/1964-07-31","1964-01-01/1964-12-01"
"201",671,"BURNABY METROTOWN","N/A","1987-04-01/1998-03-31","1987-01-01/1998-03-01"
"202",730,"BURNABY MTN TERMINAL","N/A","1958-07-01/1996-04-30","1958-01-01/1996-04-01"
"203",731,"BURNABY SIMON FRASER U","N/A","1965-02-01/2012-05-16","1965-01-01/2007-02-01"
"204",732,"BURNABY SUNCREST","N/A","1955-07-01/1957-06-30","1955-01-01/1957-12-01"
"205",733,"BURNABY VANCOUVER HTS","N/A","1959-12-01/1966-09-30","1960-01-01/1966-12-01"
"206",572,"BURNS LAKE","1969-02-03/1990-11-30","1969-02-01/1990-11-30","1969-01-01/1990-12-01"
"207",6825,"BURNS LAKE 10 SOUTH","N/A","1992-07-01/1994-09-30","1992-01-01/1994-12-01"
"208",573,"BURNS LAKE DECKER LAKE","N/A","1949-03-01/1973-01-31","1949-01-01/1973-12-01"
"209",574,"BURNS LAKE DECKER LAKE","1990-12-01/2012-05-16","1990-12-01/2012-05-16","1990-01-01/2006-11-01"
"210",734,"BURQUITLAM VANCOUVER GOLF COURSE","N/A","1926-01-01/2005-12-31","1926-01-01/2005-12-01"
"211",385,"BUTEDALE","N/A","1974-06-01/1978-04-30","1974-01-01/1978-12-01"
"212",1244,"CACHE CREEK 16 MILE","N/A","1982-11-01/1998-11-30","1982-01-01/1998-11-01"
"213",43500,"CALLAGHAN VALLEY","2005-01-18/2012-05-16","2005-06-13/2012-05-16","2005-11-01/2007-02-01"
"214",45487,"CALLAGHAN VALLEY (SKI JUMP TOP)","2006-12-18/2010-04-13","2006-12-18/2010-04-13","N/A"
"215",47835,"CALLAGHAN VALLEY BIATHLON HIGH LEVEL","2009-01-20/2010-07-08","2009-01-20/2010-07-08","N/A"
"216",47834,"CALLAGHAN VALLEY CROSS COUNTRY HIGH LEVEL","2009-01-20/2010-07-08","N/A","N/A"
"217",47833,"CALLAGHAN VALLEY LOW LEVEL","2009-01-20/2010-07-08","2009-01-20/2010-07-08","N/A"
"218",45707,"CALLAGHAN VALLEY(BIATHALON)","2007-03-06/2010-07-08","2007-03-06/2010-07-08","N/A"
"219",46967,"CALLAGHAN VALLEY(SKI JUMP BOTTOM)","2008-01-21/2010-06-23","2008-01-21/2010-06-23","N/A"
"220",142,"CAMERON LAKE","N/A","1924-01-01/1986-08-31","1924-01-01/1986-12-01"
"221",575,"CAMILLE LAKE","N/A","1980-09-01/1997-06-30","1980-01-01/1997-06-01"
"222",143,"CAMPBELL LAKE","N/A","1919-08-01/1933-02-28","1919-01-01/1933-12-01"
"223",148,"CAMPBELL R LAKEVIEW FC","N/A","1970-08-01/1973-04-30","1970-01-01/1973-12-01"
"224",144,"CAMPBELL RIVER","N/A","1936-02-01/1969-05-31","1936-01-01/1969-12-01"
"225",145,"CAMPBELL RIVER A","1979-03-01/2012-05-16","1965-01-01/2012-05-16","1965-01-01/2007-02-01"
"226",146,"CAMPBELL RIVER BCFS","N/A","1969-06-01/1982-10-31","1969-01-01/1982-12-01"
"227",147,"CAMPBELL RIVER BCHPA GEN","N/A","1972-11-01/1982-08-31","1972-01-01/1982-12-01"
"228",149,"CAMPBELL RIVER STP","N/A","1982-04-01/1996-05-31","1982-01-01/1996-05-01"
"229",150,"CAMPBELL RIVER SURFSIDE","N/A","1981-02-01/2011-10-31","1981-01-01/2007-02-01"
"230",1169,"CANAL FLATS","N/A","1924-01-01/1948-12-31","1924-01-01/1948-12-01"
"231",1168,"CANAL FLATS RANGER STN","N/A","1962-07-01/1982-09-30","1962-01-01/1982-12-01"
"232",576,"CANIM LAKE","N/A","1959-03-01/1959-10-31","1958-01-01/1959-12-01"
"233",1245,"CANIM LAKE EAGLE CREEK","N/A","1987-06-01/1991-06-30","1987-01-01/1991-11-01"
"234",1246,"CANOE POINT","N/A","1910-06-01/1920-09-30","1910-01-01/1920-12-01"
"235",1354,"CANOE RIVER","N/A","1971-09-01/1975-10-31","1975-01-01/1975-12-01"
"236",235,"CAPE BEALE LIGHT","N/A","1984-10-01/2012-05-16","1984-01-01/2007-02-01"
"237",151,"CAPE LAZO","N/A","1935-11-01/1962-08-31","1935-01-01/1962-12-01"
"238",152,"CAPE MUDGE","1994-02-01/2001-12-13","1978-09-01/2012-05-15","1978-01-01/2007-02-01"
"239",27382,"CAPE MUDGE CS","1998-03-12/1998-11-16","N/A","N/A"
"240",237,"CAPE SCOTT","1966-06-01/2001-12-13","1965-12-01/2012-01-04","1965-01-01/2007-02-01"
"241",236,"CAPE SCOTT","N/A","1897-04-01/1909-03-31","1897-01-01/1908-12-01"
"242",352,"CAPE ST JAMES","1953-01-01/1992-08-31","1925-08-01/1998-04-30","1925-01-01/1998-04-01"
"243",10901,"CAPE ST JAMES CS","1993-09-30/2012-05-16","1992-11-01/2012-05-16","1994-01-01/2007-01-01"
"244",301,"CAPILANO INTAKE","N/A","1924-01-01/1955-10-31","1924-01-01/1955-12-01"
"245",1355,"CARIBOO LODGE","N/A","1975-11-01/2011-09-29","1975-01-01/2007-01-01"
"246",238,"CARMANAH","N/A","1891-07-01/1902-06-30","1891-01-01/1902-12-01"
"247",239,"CARMANAH POINT","N/A","1968-03-01/2012-05-05","1968-01-01/2007-02-01"
"248",1082,"CARMI","N/A","1924-01-01/1969-03-31","1924-01-01/1969-12-01"
"249",240,"CARNATION CREEK CDF","N/A","1971-04-01/1990-06-30","1971-01-01/1990-12-01"
"250",1451,"CASSIAR","N/A","1954-03-01/1996-08-31","1954-01-01/1996-08-01"
"251",1452,"CASSIAR MINE","N/A","1960-08-01/1963-08-31","1960-01-01/1963-12-01"
"252",5017,"CASTLE ROCK 6 NORTH","N/A","1991-04-01/2011-11-30","1991-01-01/2007-02-01"
"253",1104,"CASTLEGAR","N/A","1916-07-01/1963-06-30","1916-01-01/1963-12-01"
"254",1105,"CASTLEGAR A","1954-01-12/2012-05-16","1965-12-01/2012-05-16","1966-01-01/2007-02-01"
"255",1106,"CASTLEGAR BCHPA DAM","N/A","1969-06-01/2012-05-16","1969-01-01/2007-02-01"
"256",30434,"CASTLEGAR ROBSON PUMPHOUSE","N/A","1998-10-01/2003-12-31","1998-10-01/2003-12-01"
"257",556,"CATFISH CREEK","N/A","1986-06-01/1987-07-31","1986-01-01/1987-12-01"
"258",8264,"CATHEDRAL POINT (AUT)","1994-02-01/2012-05-16","1994-12-30/2012-05-16","2002-05-01/2007-02-01"
"259",990,"CAWSTON SIMILKAMEEN","N/A","1979-05-01/1992-10-31","1979-01-01/1992-12-01"
"260",1399,"CECIL LAKE CDA","N/A","1961-07-01/1980-11-30","1961-01-01/1980-12-01"
"261",448,"CEDARVALE","N/A","1973-06-01/1994-12-31","1973-01-01/1994-12-01"
"262",1247,"CELISTA","N/A","1986-07-01/2004-07-31","1986-01-01/2004-07-01"
"263",24,"CENTRAL SAANICH ISL VIEW","N/A","1970-03-01/2008-06-23","1970-01-01/2007-02-01"
"264",23,"CENTRAL SAANICH TANNER","N/A","1966-05-01/1968-07-31","1966-01-01/1968-12-01"
